home_team,away_team,home_team_score,away_team_score,game_date,stadium,public,ref,yellow_cards_home,red_cards_home,gols_home,yellow_cards_away,red_cards_away,gols_away,sec_card_home,sec_card_away,link
CR Vasco da Gama,Goiás EC,3,2,25 de fevereiro de 2021 21:30,São Januário,No data,Leandro Pedro Vuaden,"[{""player"": ""Leonardo de Matos Cruz"", ""minute"": ""17'""}]",[],"[{""player"": ""Germ\u00e1n Ezequiel Cano"", ""minute"": ""15'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Ricardo Queiroz de Alencastro Gra\u00e7a"", ""minute"": ""50'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Ricardo Queiroz de Alencastro Gra\u00e7a"", ""minute"": ""90+2'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Miguel Ferreira Damasceno"", ""minute"": ""58'""}, {""player"": ""F\u00e1bio Pizarro Sanches"", ""minute"": ""74'""}]",[],"[{""player"": ""Jos\u00e9 Fernando Viana de Santana"", ""minute"": ""25'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Jos\u00e9 Fernando Viana de Santana"", ""minute"": ""45+7'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5d9g78zocz08wn1ng2qm0odii
São Paulo FC,CR Flamengo,2,1,25 de fevereiro de 2021 21:30,Morumbi,No data,Rodolpho Toski Marques,"[{""player"": ""Danilo das Neves Pinheiro"", ""minute"": ""31'""}, {""player"": ""Robert Abel Arboleda Escobar"", ""minute"": ""36'""}, {""player"": ""Daniel Alves da Silva"", ""minute"": ""39'""}, {""player"": ""Igor Vin\u00edcius de Souza"", ""minute"": ""43'""}, {""player"": ""Welington Damascena Santos"", ""minute"": ""54'""}, {""player"": ""Luciano da Rocha Neves"", ""minute"": ""61'""}]",[],"[{""player"": ""Luciano da Rocha Neves"", ""minute"": ""45+5'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Pablo Felipe Teixeira"", ""minute"": ""58'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Gabriel Barbosa Almeida"", ""minute"": ""45+7'""}, {""player"": ""\u00c9verton Augusto de Barros Ribeiro"", ""minute"": ""77'""}, {""player"": ""Bruno Henrique Pinto"", ""minute"": ""89'""}]",[],"[{""player"": ""Bruno Henrique Pinto"", ""minute"": ""51'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5bq1ox3fs09mb7wa5smq7h1t6
SC Internacional,SC Corinthians Paulista,0,0,25 de fevereiro de 2021 21:30,Beira-Rio,No data,Wilton Pereira Sampaio,[],[],[],"[{""player"": ""V\u00edctor Danilo Cantillo Jim\u00e9nez"", ""minute"": ""22'""}, {""player"": ""F\u00e1bio Santos Romeu"", ""minute"": ""68'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5cizzldqglox2hjx6vwo749yi
Fluminense FC,Fortaleza EC,2,0,25 de fevereiro de 2021 21:30,Estádio Jornalista Mário Filho (Maracanã),No data,Anderson Daronco,[],[],"[{""player"": ""Frederico Chaves Guedes"", ""minute"": ""21'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Matheus Ferraz Pereira"", ""minute"": ""61'"", ""cont"": 0, ""penal"": 0}]",[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5d46e8kgq8mrw7hkziufa61d6
Ceará SC,Botafogo FR,2,1,25 de fevereiro de 2021 21:30,Castelão,No data,Raphael Claus,"[{""player"": ""Gabriel Santos Cordeiro Lacerda"", ""minute"": ""43'""}, {""player"": ""William Klaus"", ""minute"": ""56'""}, {""player"": ""Pedro Henrique Naressi Machado"", ""minute"": ""64'""}]",[],"[{""player"": ""Pedro Henrique Naressi Machado"", ""minute"": ""17'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Saulo Rodrigues da Silva"", ""minute"": ""90+4'"", ""cont"": 0, ""penal"": 0}]",[],[],"[{""player"": ""Matheus Barcelos da Silva"", ""minute"": ""57'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""William Klaus"", ""minute"": ""81'""}]",[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5bxcq20w8fn3csbwba4ikuhyi
Red Bull Bragantino,Grêmio FB Porto Alegrense,1,0,25 de fevereiro de 2021 21:30,Nabizão,No data,Ramon Abatti,"[{""player"": ""Edimar Curitiba Fraga"", ""minute"": ""35'""}, {""player"": ""Lucas Evangelista Santana de Oliveira"", ""minute"": ""44'""}, {""player"": ""Ytalo Jos\u00e9 Oliveira dos Santos"", ""minute"": ""82'""}, {""player"": ""Fabr\u00edcio Bruno Soares de Faria"", ""minute"": ""90+4'""}]",[],"[{""player"": ""Cl\u00e1udio Luiz Rodrigues Parise Leonel"", ""minute"": ""53'"", ""cont"": 0, ""penal"": 0}]",[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5cnzla0vcb4s6mo24thdfx08a
EC Bahia,Santos FC Sao Paulo,2,0,25 de fevereiro de 2021 21:30,Arena Fonte Nova,No data,Paulo Roberto Alves Júnior,[],[],"[{""player"": ""Rosicley Pereira da Silva"", ""minute"": ""15'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Alesson dos Santos Batista"", ""minute"": ""90+1'"", ""cont"": 0, ""penal"": 0}]",[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5cas76zm42pd23hp15ixn51m2
Clube Atlético Mineiro,SE Palmeiras,2,0,25 de fevereiro de 2021 21:30,Mineirão,No data,Heber Roberto Lopes,"[{""player"": ""Everson Felipe Marques Pires"", ""minute"": ""5'""}, {""player"": ""Federico Mat\u00edas Zaracho"", ""minute"": ""33'""}, {""player"": ""Cl\u00e1udio Rodrigues Gomes"", ""minute"": ""84'""}]",[],"[{""player"": ""Jair Rodrigues J\u00fanior"", ""minute"": ""79'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Eduardo Colcenti Antunes"", ""minute"": ""89'"", ""cont"": 0, ""penal"": 0}]",[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5c4mihxouhmdqsr05z84sqwdm
Atlético Goianiense,Coritiba FBC,3,1,25 de fevereiro de 2021 21:30,Estádio Antônio Accioly,No data,Edina Alves Batista,[],[],"[{""player"": ""Gilvan Souza Corr\u00eaa"", ""minute"": ""3'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Wellington Soares da Silva"", ""minute"": ""34'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Guilherme da Trindade Dubas"", ""minute"": ""45+2'"", ""cont"": 1, ""penal"": 0}]","[{""player"": ""Mart\u00edn Nicol\u00e1s Sarrafiore"", ""minute"": ""80'""}]",[],"[{""player"": ""Ricardo de Oliveira"", ""minute"": ""63'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5cyigdbha3qv6ew6j1rtszqsq
Club Athletico Paranaense,SC do Recife,2,0,25 de fevereiro de 2021 21:30,Arena da Baixada,No data,Flavio Rodrigues De Souza,[],[],"[{""player"": ""Maycon Vin\u00edcius Ferreira da Cruz"", ""minute"": ""8'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Leonardo Cittadini"", ""minute"": ""86'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Adryelson Shawann Lima Silva"", ""minute"": ""26'""}, {""player"": ""Jair Zaksauskas Ribeiro Ventura"", ""minute"": ""45+2'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5csvm0e0talxeblgjm6y3jpey
Botafogo FR,São Paulo FC,1,0,22 de fevereiro de 2021 20:00,Estádio Nilton Santos,No data,Braulio da Silva Machado,"[{""player"": ""Rafael Navarro Leal"", ""minute"": ""38'""}, {""player"": ""Luiz Ot\u00e1vio Alves Marcolino"", ""minute"": ""49'""}, {""player"": ""Bruno dos Santos Naz\u00e1rio"", ""minute"": ""85'""}]",[],"[{""player"": ""Matheus Barcelos da Silva"", ""minute"": ""58'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Bruno Fabiano Alves Nascimento"", ""minute"": ""65'""}, {""player"": ""Igor Silveira Gomes"", ""minute"": ""71'""}, {""player"": ""Pablo Felipe Teixeira"", ""minute"": ""83'""}, {""player"": ""Marcos Vizolli"", ""minute"": ""87'""}, {""player"": ""Anderson Hernanes de Carvalho Andrade"", ""minute"": ""88'""}, {""player"": ""Leonardo Pinheiro da Concei\u00e7\u00e3o"", ""minute"": ""89'""}]","[{""player"": ""Reinaldo Manoel da Silva"", ""minute"": ""29'""}]",[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5a6r0q76zm6dkqbin46nw0h2i
SE Palmeiras,Atlético Goianiense,1,1,22 de fevereiro de 2021 18:00,Allianz Parque,No data,Caio Max Augusto Vieira,"[{""player"": ""Luan Garcia Teixeira"", ""minute"": ""28'""}, {""player"": ""Mat\u00edas Nicol\u00e1s Vi\u00f1a Susperreguy"", ""minute"": ""75'""}]",[],"[{""player"": ""Mat\u00edas Nicol\u00e1s Vi\u00f1a Susperreguy"", ""minute"": ""22'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Matheus de Vargas"", ""minute"": ""19'""}]",[],"[{""player"": ""Matheus de Vargas"", ""minute"": ""43'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5bjnlaqevqp1311x0mmqo9rai
Goiás EC,Red Bull Bragantino,0,0,21 de fevereiro de 2021 20:30,Estádio Hailé Pinheiro (Serrinha),No data,Jean Pierre Goncalves Lima,"[{""player"": ""Augusto"", ""minute"": ""16'""}, {""player"": ""Daniel de Pauli Oliveira"", ""minute"": ""81'""}, {""player"": ""Shaylon Kallyson Cardozo"", ""minute"": ""85'""}]",[],[],[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5adae4foadxk6ldpnme24bsru
Santos FC Sao Paulo,Fluminense FC,1,1,21 de fevereiro de 2021 18:15,Vila Belmiro,No data,Sávio Pereira Sampaio,"[{""player"": ""Luiz Felipe do Nascimento dos Santos"", ""minute"": ""20'""}, {""player"": ""Bruno Henrique Marques Torres"", ""minute"": ""76'""}, {""player"": ""Jean Mota Oliveira de Sousa"", ""minute"": ""87'""}]",[],"[{""player"": ""Jean Mota Oliveira de Sousa"", ""minute"": ""87'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Eg\u00eddio de Ara\u00fajo Pereira J\u00fanior"", ""minute"": ""40'""}, {""player"": ""Yago Felipe da Costa Rocha"", ""minute"": ""42'""}, {""player"": ""Frederico Chaves Guedes"", ""minute"": ""54'""}, {""player"": ""Marc\u00edlio Flor\u00eancio Mota Filho"", ""minute"": ""85'""}]","[{""player"": ""Marc\u00edlio Flor\u00eancio Mota Filho"", ""minute"": ""85'""}]","[{""player"": ""Lucca Borges de Brito"", ""minute"": ""16'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/59usi9b2cl3iv2y4qcs0f0jmy
Grêmio FB Porto Alegrense,Club Athletico Paranaense,1,0,21 de fevereiro de 2021 18:15,Arena do Grêmio,No data,Ricardo Marques Ribeiro,"[{""player"": ""Darlan Pereira Mendes"", ""minute"": ""43'""}, {""player"": ""Aldemir dos Santos Ferreira"", ""minute"": ""72'""}, {""player"": ""Lucas Silva Borges"", ""minute"": ""75'""}]",[],"[{""player"": ""Thaciano Mickael da Silva"", ""minute"": ""77'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Maycon Vin\u00edcius Ferreira da Cruz"", ""minute"": ""61'""}]","[{""player"": ""Richard C\u00e2ndido Coelho"", ""minute"": ""90+5'""}, {""player"": ""Thiago Heleno Henrique Ferreira"", ""minute"": ""90+5'""}]",[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5b504vk1k7rscb55ajf6tumi2
SC do Recife,Clube Atlético Mineiro,2,3,21 de fevereiro de 2021 16:00,Ilha do Retiro,No data,Rodolpho Toski Marques,"[{""player"": ""Ronaldo Henrique Ferreira da Silva"", ""minute"": ""20'""}, {""player"": ""Marcos Ant\u00f4nio Almeida Silva"", ""minute"": ""45+1'""}, {""player"": ""Dalberto Luan Belo"", ""minute"": ""75'""}, {""player"": ""Gustavo Silva de Oliveira"", ""minute"": ""89'""}]",[],"[{""player"": ""Dalberto Luan Belo"", ""minute"": ""33'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Thiago Neves Augusto"", ""minute"": ""87'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""Eduardo Colcenti Antunes"", ""minute"": ""14'""}, {""player"": ""Jorge Luis Sampaoli Moya"", ""minute"": ""51'""}, {""player"": ""Guilherme Antonio Arana Lopes"", ""minute"": ""81'""}, {""player"": ""Marrony da Silva Liberato Silveira"", ""minute"": ""84'""}, {""player"": ""J\u00fanior Osmar Ignacio Alonso Mujica"", ""minute"": ""90+6'""}]","[{""player"": ""Jorge Luis Sampaoli Moya"", ""minute"": ""84'""}]","[{""player"": ""Jair Rodrigues J\u00fanior"", ""minute"": ""7'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Rafael Thyere de Albuquerque Marques"", ""minute"": ""50'"", ""cont"": 1, ""penal"": 0}, {""player"": ""Marrony da Silva Liberato Silveira"", ""minute"": ""90+8'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5aic67ydepd2e9zf0gbef0odm
CR Flamengo,SC Internacional,2,1,21 de fevereiro de 2021 16:00,Estádio Jornalista Mário Filho (Maracanã),No data,Raphael Claus,"[{""player"": ""Diego Ribas da Cunha"", ""minute"": ""51'""}, {""player"": ""Jo\u00e3o Victor Gomes da Silva"", ""minute"": ""73'""}, {""player"": ""Natan Bernardo de Souza"", ""minute"": ""90'""}, {""player"": ""Pedro Guilherme Abreu dos Santos"", ""minute"": ""90+7'""}]",[],"[{""player"": ""Giorgian Daniel de Arrascaeta Benedetti"", ""minute"": ""29'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Gabriel Barbosa Almeida"", ""minute"": ""63'"", ""cont"": 0, ""penal"": 0}]",[],"[{""player"": ""Rodinei Marcelo de Almeida"", ""minute"": ""49'""}]","[{""player"": ""Eden\u00edlson Andrade dos Santos"", ""minute"": ""12'"", ""cont"": 0, ""penal"": 1}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5anl2g0nc3td70vwt0go3obca
SC Corinthians Paulista,CR Vasco da Gama,0,0,21 de fevereiro de 2021 16:00,Neo Química Arena,No data,Anderson Daronco,"[{""player"": ""F\u00e1gner Conserva Lemos"", ""minute"": ""31'""}]",[],[],"[{""player"": ""Talles Magno Bacelar Martins"", ""minute"": ""31'""}, {""player"": ""Marcos Ant\u00f4nio Candido Ferreira J\u00fanior"", ""minute"": ""86'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5a0g4ojgqnjphubm769yktpii
Fortaleza EC,EC Bahia,0,4,20 de fevereiro de 2021 21:00,Castelão,No data,Luiz Flávio de Oliveira,"[{""player"": ""Luiz Henrique Ara\u00fajo Silva"", ""minute"": ""9'""}, {""player"": ""Gabriel Dias de Oliveira"", ""minute"": ""45+3'""}, {""player"": ""Luis Ant\u00f4nio Ferreira Rodrigues"", ""minute"": ""51'""}, {""player"": ""Mariano V\u00e1zquez"", ""minute"": ""70'""}]",[],[],"[{""player"": ""Ronaldo da Silva Souza"", ""minute"": ""9'""}, {""player"": ""Matheus Bahia Santos"", ""minute"": ""11'""}, {""player"": ""Thiago Eduardo de Andrade"", ""minute"": ""83'""}]",[],"[{""player"": ""Rodrigo Eduardo Costa Marinho"", ""minute"": ""7'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Rodrigo Eduardo Costa Marinho"", ""minute"": ""62'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Rodrigo Eduardo Costa Marinho"", ""minute"": ""66'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Rosicley Pereira da Silva"", ""minute"": ""81'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""Luis Ant\u00f4nio Ferreira Rodrigues"", ""minute"": ""65'""}]",[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5au93hemca2f8mvkgg1u5cui2
Coritiba FBC,Ceará SC,0,2,20 de fevereiro de 2021 18:30,Couto Pereira,No data,Marcelo de Lima Henrique,"[{""player"": ""Nathanael Ananias da Silva"", ""minute"": ""44'""}]",[],[],[],[],"[{""player"": ""Felipe dos Reis Pereira Vizeu do Carmo"", ""minute"": ""51'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Saulo Rodrigues da Silva"", ""minute"": ""74'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5bcjzts0pufezks6vvyzh3mne
São Paulo FC,SE Palmeiras,1,1,19 de fevereiro de 2021 21:30,Morumbi,No data,Leandro Pedro Vuaden,"[{""player"": ""Danilo das Neves Pinheiro"", ""minute"": ""78'""}, {""player"": ""Daniel Alves da Silva"", ""minute"": ""85'""}]",[],"[{""player"": ""Luciano da Rocha Neves"", ""minute"": ""74'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""Gustavo Ra\u00fal G\u00f3mez Portillo"", ""minute"": ""63'""}, {""player"": ""Abel Ferreira"", ""minute"": ""77'""}]",[],"[{""player"": ""Ronielson da Silva Barbosa"", ""minute"": ""90+3'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/54id531laib9e5qz6pe1factm
Coritiba FBC,SE Palmeiras,1,0,17 de fevereiro de 2021 19:30,Couto Pereira,No data,Ramon Abatti,"[{""player"": ""Neilton Meira Mestzk"", ""minute"": ""75'""}, {""player"": ""Osman de Menezes Ven\u00e2ncio J\u00fanior"", ""minute"": ""89'""}]",[],"[{""player"": ""Jonathan Francisco Lemos"", ""minute"": ""88'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Benjam\u00edn Ku\u0161\u010devi\u0107 Jaramillo"", ""minute"": ""18'""}, {""player"": ""Renan Victor da Silva"", ""minute"": ""23'""}, {""player"": ""Danilo dos Santos de Oliveira"", ""minute"": ""66'""}]","[{""player"": ""Benjam\u00edn Ku\u0161\u010devi\u0107 Jaramillo"", ""minute"": ""63'""}]",[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/56e60q2qk31zaj85hk64asktm
Santos FC Sao Paulo,SC Corinthians Paulista,1,0,17 de fevereiro de 2021 19:00,Vila Belmiro,No data,Vinicius Gonçalves Dias Araujo,[],[],"[{""player"": ""Marcos Leonardo Santos Almeida"", ""minute"": ""55'"", ""cont"": 0, ""penal"": 0}]",[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5350xkorg2p7z67lrmd3cgk8a
SC do Recife,Red Bull Bragantino,0,0,15 de fevereiro de 2021 20:00,Ilha do Retiro,No data,Leandro Pedro Vuaden,"[{""player"": ""Iago Justen Maidana Martins"", ""minute"": ""35'""}, {""player"": ""Roberto Pimenta Vinagre Filho"", ""minute"": ""54'""}, {""player"": ""Marcos Ant\u00f4nio Almeida Silva"", ""minute"": ""85'""}]",[],[],[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/58mxd0p12d3l3t4eks6kbwyne
Ceará SC,Fluminense FC,1,3,15 de fevereiro de 2021 18:00,Castelão,No data,Wilton Pereira Sampaio,"[{""player"": ""Leonardo Alves Ch\u00fa Franco"", ""minute"": ""22'""}]",[],"[{""player"": ""Vin\u00edcius Goes Barbosa de Souza"", ""minute"": ""78'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""Lucca Borges de Brito"", ""minute"": ""17'""}]",[],"[{""player"": ""John Kennedy Batista de Souza"", ""minute"": ""45'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Matheus Martinelli Lima"", ""minute"": ""59'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Samuel Salustiano de Jesus Silva"", ""minute"": ""88'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/5804sj0num46izt53hj1acxgq
Grêmio FB Porto Alegrense,São Paulo FC,1,2,14 de fevereiro de 2021 20:30,Arena do Grêmio,No data,Paulo Roberto Alves Júnior,"[{""player"": ""Jonathan Doin"", ""minute"": ""59'""}, {""player"": ""Diego de Souza Andrade"", ""minute"": ""90'""}, {""player"": ""Alisson Euler de Freitas Castro"", ""minute"": ""90+3'""}, {""player"": ""C\u00e9sar Ignacio Pinares Tamayo"", ""minute"": ""90+8'""}, {""player"": ""Aldemir dos Santos Ferreira"", ""minute"": ""90+8'""}]",[],"[{""player"": ""Diego de Souza Andrade"", ""minute"": ""33'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Gonzalo Rodrigo Carneiro M\u00e9ndez"", ""minute"": ""59'""}, {""player"": ""Daniel Alves da Silva"", ""minute"": ""75'""}, {""player"": ""Igor Vin\u00edcius de Souza"", ""minute"": ""80'""}, {""player"": ""Danilo das Neves Pinheiro"", ""minute"": ""88'""}]",[],"[{""player"": ""Danilo das Neves Pinheiro"", ""minute"": ""63'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Luciano da Rocha Neves"", ""minute"": ""68'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""C\u00e9sar Ignacio Pinares Tamayo"", ""minute"": ""90+9'""}]",[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/58fanf4nzsoyqsx1sndelnn8q
SE Palmeiras,Fortaleza EC,3,0,14 de fevereiro de 2021 18:15,Allianz Parque,No data,Ricardo Marques Ribeiro,[],[],"[{""player"": ""Gustavo Henrique Furtado Scarpa"", ""minute"": ""20'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Lucas Rafael Ara\u00fajo Lima"", ""minute"": ""26'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Breno Henrique Vasconcelos Lopes"", ""minute"": ""38'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Wanderley de Jesus Sousa"", ""minute"": ""84'""}, {""player"": ""Luis Ant\u00f4nio Ferreira Rodrigues"", ""minute"": ""85'""}, {""player"": ""Wellington Pereira do Nascimento"", ""minute"": ""90+1'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/59hrqqlpbexoafbbswcugj0q2
Club Athletico Paranaense,Atlético Goianiense,2,1,14 de fevereiro de 2021 18:15,Arena da Baixada,No data,Wagner do Nascimento Magalhaes,"[{""player"": ""Abner Vin\u00edcius da Silva Santos"", ""minute"": ""29'""}, {""player"": ""Richard C\u00e2ndido Coelho"", ""minute"": ""42'""}, {""player"": ""Jonathan C\u00edcero Moreira"", ""minute"": ""45+3'""}]",[],"[{""player"": ""Vitor Hugo Naum dos Santos"", ""minute"": ""63'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Thiago Heleno Henrique Ferreira"", ""minute"": ""90+2'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Francisco Hyun-Sol Kim"", ""minute"": ""41'""}]",[],"[{""player"": ""Roberson de Arruda Alves"", ""minute"": ""71'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/59nf2dxi6138awimlfmov50tm
CR Vasco da Gama,SC Internacional,0,2,14 de fevereiro de 2021 16:00,São Januário,No data,Flavio Rodrigues De Souza,"[{""player"": ""Bruno Gomes da Silva Clevel\u00e1rio"", ""minute"": ""18'""}]",[],[],"[{""player"": ""Maur\u00edcio Magalh\u00e3es Prado"", ""minute"": ""25'""}, {""player"": ""Rodinei Marcelo de Almeida"", ""minute"": ""45'""}, {""player"": ""V\u00edctor Leandro Cuesta"", ""minute"": ""77'""}, {""player"": ""Mois\u00e9s Roberto Barbosa"", ""minute"": ""79'""}, {""player"": ""Marcelo Lomba do Nascimento"", ""minute"": ""90+3'""}, {""player"": ""Thiago Galhardo do Nascimento Rocha"", ""minute"": ""90+7'""}]",[],"[{""player"": ""Rodrigo Dourado Cunha"", ""minute"": ""10'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Thiago Galhardo do Nascimento Rocha"", ""minute"": ""90+6'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/58xy5v0c0a8n0ei6p5nm9xw8a
